date,vaccination.administered,vaccination.administered.todate,vaccination.administered2nd,vaccination.administered2nd.todate,vaccination.used.todate,vaccination.delivered.todate,vaccination.pfizer.delivered,vaccination.pfizer.delivered.todate,vaccination.moderna.delivered,vaccination.moderna.delivered.todate,vaccination.az.delivered,vaccination.az.delivered.todate,vaccination.janssen.delivered,vaccination.janssen.delivered.todate
2020-12-26,,,,,,11700,11700,11700,,,,,,
2020-12-27,6109,6109,,,6109,11700,,11700,,,,,,
2020-12-28,1629,7738,,,7738,11700,,11700,,,,,,
2020-12-29,1307,9045,,,9045,11700,,11700,,,,,,
2020-12-30,384,9429,,,9429,19890,8190,19890,,,,,,
2020-12-31,1844,11273,,,11273,19890,,19890,,,,,,
2021-01-01,150,11423,,,11423,19890,,19890,,,,,,
2021-01-02,404,11827,,,11827,19890,,19890,,,,,,
2021-01-03,553,12380,,,12380,19890,,19890,,,,,,
2021-01-04,1075,13455,,,13455,39780,19890,39780,,,,,,
2021-01-05,2453,15908,,,15908,39780,,39780,,,,,,
2021-01-06,5344,21252,,,21252,39780,,39780,,,,,,
2021-01-07,5455,26707,,,26707,39780,,39780,,,,,,
2021-01-08,3206,29913,1,1,29914,39780,,39780,,,,,,
2021-01-09,254,30167,,1,30168,39780,,39780,,,,,,
2021-01-10,1,30168,,1,30169,39780,,39780,,,,,,
2021-01-11,478,30646,,1,30647,59670,19890,59670,,,,,,
2021-01-12,1857,32503,,1,32504,60870,,59670,1200,1200,,,,
2021-01-13,4697,37200,1,2,37202,60870,,59670,,1200,,,,
2021-01-14,6711,43911,1,3,43914,60870,,59670,,1200,,,,
2021-01-15,4759,48670,147,150,48820,60870,,59670,,1200,,,,
2021-01-16,323,48993,,150,49143,60870,,59670,,1200,,,,
2021-01-17,4,48997,,150,49147,60870,,59670,,1200,,,,
2021-01-18,63,49060,165,315,49375,70230,9360,69030,,1200,,,,
2021-01-19,551,49611,1621,1936,51547,70230,,69030,,1200,,,,
